RA               , DEC                , PMra      , PMdec     , PMCorr , Vlos    , plx                  , Rgc   , Xgc                 , Ygc   , Zgc      , cosphi              , sinphi            , costheta            , sintheta             , ePMra    , ePMdec   , eVlos , eRgc  , Fullname   , Rsun  , cospsi
154.403333333333 , -46.4124722222222  , 0.008322  , -0.001991 , 0.001  , 494.34  , 0.000204081632653061 , 8.8   , -7.4                , -4.8  , 0.6795   , 0.079126753089222   , 0.997045789008138 , -0.838961287027659  , -0.544191105099022   , 4.4e-05  , 4.4e-05  , 0.14  , 0.44  , NGC 3201   , 4.9   , 0.43424837372449
172.32           , 28.9735833333333   , -0.000153 , -0.000542 , -0.471 , 72.4    , 9.19963201471941e-06 , 111.2 , -39.4               , -12.9 , 103.1795 , 0.928082351546618   , 0.37283416224923  , -0.950358228768229  , -0.311157897236298   , 0.000109 , 0.000184 , 0.24  , 5.56  , Pal 4      , 108.7 , 0.997611139321064
182.52625        , 18.5426388888889   , -0.001705 , -0.002111 , -0.014 , 179.52  , 5.18134715025907e-05 , 21.4  , -9.3                , -4.1  , 18.7795  , 0.880419991159519   , 0.475972878433301 , -0.915024637441462  , -0.403397958441935   , 6.5e-05  , 6.3e-05  , 0.33  , 1.07  , NGC 4147   , 19.3  , 0.927860127536197
186.439166666667 , -72.659            , -0.006377 , 0.003368  , 0.001  , 75.59   , 0.000172413793103448 , 7.1   , -5.1                , -4.9  , -1.0205  , -0.139943765317365  , 0.989749744990675 , -0.721104710287431  , -0.692826094197728   , 5e-05    , 5e-05    , 0.3   , 0.355 , NGC 4372   , 5.8   , 0.243438316537154
189.6675         , -51.1502777777778  , -0.001262 , 0.000397  , 0.027  , -38.42  , 4.71698113207547e-05 , 18.5  , 2.7                 , -17.8 , 4.2795   , 0.232366543962938   , 0.9728922810673   , 0.149969916460022   , -0.98869056036607    , 6.4e-05  , 6.3e-05  , 0.3   , 0.925 , Rup 106    , 21.2  , 0.927702166942886
189.86625        , -26.7440555555556  , -0.002753 , 0.001763  , -0.027 , -92.99  , 9.70873786407767e-05 , 10.2  , -3.9                , -7.2  , 5.9795   , 0.591759660100151   , 0.807594768455653 , -0.476283148540753  , -0.879291966536774   , 5.4e-05  , 5.3e-05  , 0.22  , 0.51  , NGC 4590   , 10.3  , 0.695457737245384
194.89125        , -70.8765           , -0.008359 , -0.000944 , 0.006  , 201.99  , 0.000151515151515152 , 7     , -4.4                , -5.4  , -0.9205  , -0.128092214123906  , 0.991381063937154 , -0.631672951162236  , -0.775234985517289   , 5.5e-05  , 5.5e-05  , 0.4   , 0.35  , NGC 4833   , 6.6   , 0.309086360930736
198.23           , 18.1681666666667   , -0.000153 , -0.001354 , -0.025 , -62.85  , 5.58659217877095e-05 , 18.4  , -5.2                , -1.4  , 17.5795  , 0.957258825712944   , 0.292897530656151 , -0.96561575852067   , -0.259973473447873   , 5.3e-05  , 5.2e-05  , 0.26  , 0.92  , NGC 5024   , 17.9  , 0.903220761097279
199.1125         , 17.70025           , -0.000366 , -0.001248 , -0.021 , 42.77   , 5.74712643678161e-05 , 17.8  , -5                  , -1.4  , 17.0795  , 0.957912815212379   , 0.29086389595273  , -0.962964019714182  , -0.269629925519971   , 5.8e-05  , 5.6e-05  , 0.25  , 0.89  , NGC 5053   , 17.4  , 0.896938492428645
201.696666666667 , -47.4795833333333  , -0.003239 , -0.006715 , -0.002 , 234.28  , 0.000192307692307692 , 6.4   , -4.9                , -3.9  , 1.2795   , 0.203380577369241   , 0.979760481485389 , -0.78242421956217   , -0.622745807406625   , 3.9e-05  , 3.9e-05  , 0.24  , 0.32  , NGC 5139   , 5.2   , 0.0600898399939907
205.548333333333 , 28.3772777777778   , -0.000138 , -0.002642 , -0.006 , -147.28 , 9.80392156862745e-05 , 12    , -6.5                , 1.3   , 9.9795   , 0.834695403194832   , 0.553296659343564 , -0.98058067569092   , 0.196116135138184    , 4.5e-05  , 4.4e-05  , 0.34  , 0.6   , NGC 5272   , 10.2  , 0.751795668913399
